"RK","PLAYER NAME","OPP","MATCHUP (?)","START/SIT","PROJ. FPTS"
"1","Baltimore Ravens (BAL) ","at PHI","3 out of 5 stars","A+","9.1"
"2","Indianapolis Colts (IND) ","vs. CIN","4 out of 5 stars","A","8.8"
"3","Pittsburgh Steelers (PIT) ","vs. CLE","1 out of 5 stars","A-","8.0"
"4","LosAngeles Rams (LAR) ","at SF","5 out of 5 stars","A-","7.8"
"5","New England Patriots (NE) ","vs. DEN","5 out of 5 stars","A","7.6"
"6","Chicago Bears (CHI) ","at CAR","1 out of 5 stars","B+","7.6"
"7","Miami Dolphins (MIA) ","vs. NYJ","3 out of 5 stars","B+","7.6"
"8","Washington Football Team (WAS) ","at NYG","4 out of 5 stars","B","7.1"
"9","Kansas City Chiefs (KC) ","at BUF","1 out of 5 stars","B","7.1"
"10","NewYork Giants (NYG) ","vs. WAS","3 out of 5 stars","B-","7.1"
"11","Carolina Panthers (CAR) ","vs. CHI","3 out of 5 stars","C+","6.7"
"12","San Francisco 49ers (SF) ","vs. LAR","2 out of 5 stars","C+","6.6"
"13","Arizona Cardinals (ARI) ","at DAL","3 out of 5 stars","C","6.4"
"14","Tennessee Titans (TEN) ","vs. HOU","2 out of 5 stars","C","6.4"
"15","Green Bay Packers (GB) ","at TB","5 out of 5 stars","C","6.3"
"16","Cleveland Browns (CLE) ","at PIT","1 out of 5 stars","C-","6.3"
"17","Minnesota Vikings (MIN) ","vs. ATL","1 out of 5 stars","D+","6.2"
"18","Cincinnati Bengals (CIN) ","at IND","3 out of 5 stars","D+","6.0"
"19","Tampa Bay Buccaneers (TB) ","vs. GB","1 out of 5 stars","D","5.9"
"20","Buffalo Bills (BUF) ","vs. KC","1 out of 5 stars","D","5.8"
"21","Denver Broncos (DEN) ","at NE","5 out of 5 stars","D","5.7"
"22","NewYork Jets (NYJ) ","at MIA","1 out of 5 stars","D-","5.7"
"23","Dallas Cowboys (DAL) ","vs. ARI","3 out of 5 stars","D-","5.7"
"24","Philadelphia Eagles (PHI) ","vs. BAL","4 out of 5 stars","D-","5.7"
"25","Detroit Lions (DET) ","at JAC","4 out of 5 stars","F","5.4"
"26","Jacksonville Jaguars (JAC) ","vs. DET","2 out of 5 stars","F","5.3"
"27","Houston Texans (HOU) ","at TEN","1 out of 5 stars","F","5.2"
"28","Atlanta Falcons (ATL) ","at MIN","3 out of 5 stars","F","5.0"
