"RK","PLAYER NAME","OPP","MATCHUP (?)","START/SIT","PROJ. FPTS"
"1","Justin Tucker (BAL) ","at PHI","3 out of 5 stars","A","9.1"
"2","Harrison Butker (KC) ","at BUF","3 out of 5 stars","B+","8.8"
"3","Rodrigo Blankenship (IND) ","vs. CIN","5 out of 5 stars","B","8.8"
"4","Zane Gonzalez (ARI) ","at DAL","5 out of 5 stars","B-","8.5"
"5","Greg Zuerlein (DAL) ","vs. ARI","2 out of 5 stars","C+","8.4"
"6","Stephen Gostkowski (TEN) ","vs. HOU","3 out of 5 stars","C+","8.2"
"7","Matt Prater (DET) ","at JAC","5 out of 5 stars","C+","8.2"
"8","Mason Crosby (GB) ","at TB","3 out of 5 stars","C+","8.2"
"9","Joey Slye (CAR) ","vs. CHI","5 out of 5 stars","C","8.1"
"10","Younghoe Koo (ATL) ","at MIN","5 out of 5 stars","C","8.1"
"11","Jason Sanders (MIA) ","vs. NYJ","5 out of 5 stars","C+","8.0"
"12","Dan Bailey (MIN) ","vs. ATL","4 out of 5 stars","C","8.0"
"13","Chris Boswell (PIT) ","vs. CLE","2 out of 5 stars","C","7.9"
"14","Ka'imi Fairbairn (HOU) ","at TEN","1 out of 5 stars","C","7.9"
"15","Robbie Gould (SF) ","vs. LAR","2 out of 5 stars","C","7.6"
"16","Ryan Succop (TB) ","vs. GB","1 out of 5 stars","C","7.4"
"17","Sam Sloman (LAR) ","at SF","5 out of 5 stars","C","7.2"
"18","Nick Folk (NE) ","vs. DEN","3 out of 5 stars","C-","7.2"
"19","Graham Gano (NYG) ","vs. WAS","3 out of 5 stars","C-","7.2"
"20","Tyler Bass (BUF) ","vs. KC","1 out of 5 stars","C-","7.0"
"21","Randy Bullock (CIN) ","at IND","3 out of 5 stars","C-","6.8"
"22","Cody Parkey (CLE) ","at PIT","1 out of 5 stars","D+","6.7"
"23","Jake Elliott (PHI) ","vs. BAL","1 out of 5 stars","D+","6.6"
"24","Cairo Santos (CHI) ","at CAR","3 out of 5 stars","D","6.4"
"25","Brandon McManus (DEN) ","at NE","1 out of 5 stars","D","6.4"
"26","Jonathan Brown (JAC) ","vs. DET","3 out of 5 stars","D","6.4"
"27","Sam Ficken (NYJ) ","at MIA","1 out of 5 stars","D-","6.4"
"28","Dustin Hopkins (WAS) ","at NYG","3 out of 5 stars","D","6.4"
"29","Aldrick Rosas (JAC) ","vs. DET","3 out of 5 stars","D-","6.4"
