"RK","PLAYER NAME","OPP","MATCHUP (?)","START/SIT","PROJ. FPTS"
"1","Patrick Mahomes II (KC) ","at BUF","5 out of 5 stars","A+","23.3"
"2","Kyler Murray (ARI) ","at DAL","4 out of 5 stars","A","22.7"
"3","Josh Allen (BUF) ","vs. KC","3 out of 5 stars","A","22.0"
"4","Lamar Jackson (BAL) ","at PHI","5 out of 5 stars","A","21.2"
"5","Deshaun Watson (HOU) ","at TEN","4 out of 5 stars","A","20.6"
"6","Aaron Rodgers (GB) ","at TB","2 out of 5 stars","A","20.0"
"7","Matthew Stafford (DET) ","at JAC","5 out of 5 stars","B+","19.5"
"8","Ben Roethlisberger (PIT) ","vs. CLE","4 out of 5 stars","B+","19.3"
"9","Gardner Minshew II (JAC) ","vs. DET","3 out of 5 stars","B","19.2"
"10","Cam Newton (NE) ","vs. DEN","5 out of 5 stars","B","19.1"
"11","Kirk Cousins (MIN) ","vs. ATL","5 out of 5 stars","B","19.0"
"12","Tom Brady (TB) ","vs. GB","3 out of 5 stars","B-","18.8"
"13","Ryan Fitzpatrick (MIA) ","vs. NYJ","4 out of 5 stars","B-","18.5"
"14","Ryan Tannehill (TEN) ","vs. HOU","3 out of 5 stars","C+","18.0"
"15","Jared Goff (LAR) ","at SF","5 out of 5 stars","C","17.6"
"16","Matt Ryan (ATL) ","at MIN","3 out of 5 stars","C","17.0"
"17","Andy Dalton (DAL) ","vs. ARI","5 out of 5 stars","C","16.4"
"18","Teddy Bridgewater (CAR) ","vs. CHI","1 out of 5 stars","C-","15.9"
"19","Joe Burrow (CIN) ","at IND","1 out of 5 stars","D+","15.5"
"20","Daniel Jones (NYG) ","vs. WAS","4 out of 5 stars","D+","15.2"
"21","Carson Wentz (PHI) ","vs. BAL","4 out of 5 stars","D","14.9"
"22","Baker Mayfield (CLE) ","at PIT","4 out of 5 stars","D-","14.7"
"23","Nick Foles (CHI) ","at CAR","1 out of 5 stars","D-","14.2"
"24","Philip Rivers (IND) ","vs. CIN","3 out of 5 stars","F","13.6"
"25","Jimmy Garoppolo (SF) ","vs. LAR","3 out of 5 stars","F","12.7"
"26","Drew Lock (DEN) ","at NE","1 out of 5 stars","F","11.6"
"27","Kyle Allen (WAS) ","at NYG","3 out of 5 stars","F","10.5"
"28","Joe Flacco (NYJ) ","at MIA","3 out of 5 stars","F","4.3"
"29","Jalen Hurts (PHI) ","vs. BAL","4 out of 5 stars","F","3.8"
"30","C.J. Beathard (SF) ","vs. LAR","3 out of 5 stars","F","3.2"
"31","Brett Rypien (DEN) ","at NE","1 out of 5 stars","F","2.0"
"32","Jarrett Stidham (NE) ","vs. DEN","5 out of 5 stars","F","1.2"
"33","Alex Smith (WAS) ","at NYG","3 out of 5 stars","F","1.0"
"34","Nick Mullens (SF) ","vs. LAR","3 out of 5 stars","F","1.0"
