"RK","PLAYER NAME","OPP","MATCHUP (?)","START/SIT","PROJ. FPTS"
"1","Ezekiel Elliott (DAL) ","vs. ARI","3 out of 5 stars","A+","18.1"
"2","Derrick Henry (TEN) ","vs. HOU","5 out of 5 stars","A+","16.4"
"3","Alexander Mattison (MIN) ","vs. ATL","3 out of 5 stars","A","15.4"
"4","Jonathan Taylor (IND) ","vs. CIN","3 out of 5 stars","A","14.6"
"5","Clyde Edwards-Helaire (KC) ","at BUF","4 out of 5 stars","A","14.3"
"6","James Robinson (JAC) ","vs. DET","4 out of 5 stars","A","14.2"
"7","Aaron Jones (GB) ","at TB","1 out of 5 stars","A","14.1"
"8","Mike Davis (CAR) ","vs. CHI","4 out of 5 stars","A","14.1"
"9","Joe Mixon (CIN) ","at IND","1 out of 5 stars","A","13.9"
"10","Kareem Hunt (CLE) ","at PIT","2 out of 5 stars","A","13.3"
"11","David Montgomery (CHI) ","at CAR","5 out of 5 stars","A","13.0"
"12","James Conner (PIT) ","vs. CLE","2 out of 5 stars","A-","12.8"
"13","Miles Sanders (PHI) ","vs. BAL","2 out of 5 stars","A-","12.8"
"14","Raheem Mostert (SF) ","vs. LAR","4 out of 5 stars","A-","12.6"
"15","Todd Gurley II (ATL) ","at MIN","3 out of 5 stars","A-","12.5"
"16","David Johnson (HOU) ","at TEN","5 out of 5 stars","B+","12.0"
"17","Ronald Jones II (TB) ","vs. GB","5 out of 5 stars","B+","11.5"
"18","Devin Singletary (BUF) ","vs. KC","3 out of 5 stars","B","11.4"
"19","Antonio Gibson (WAS) ","at NYG","4 out of 5 stars","B","11.2"
"20","Kenyan Drake (ARI) ","at DAL","3 out of 5 stars","B","10.8"
"21","Myles Gaskin (MIA) ","vs. NYJ","5 out of 5 stars","B","10.8"
"22","Melvin Gordon III (DEN) ","at NE","1 out of 5 stars","B-","10.4"
"23","Darrell Henderson (LAR) ","at SF","2 out of 5 stars","B-","10.1"
"24","Mark Ingram II (BAL) ","at PHI","2 out of 5 stars","B-","9.8"
"25","Devonta Freeman (NYG) ","vs. WAS","3 out of 5 stars","C+","9.3"
"26","Adrian Peterson (DET) ","at JAC","5 out of 5 stars","C+","8.3"
"27","Chase Edmonds (ARI) ","at DAL","3 out of 5 stars","C+","8.0"
"28","Damien Harris (NE) ","vs. DEN","1 out of 5 stars","C","7.4"
"29","Malcolm Brown (LAR) ","at SF","2 out of 5 stars","C","7.1"
"30","J.K. Dobbins (BAL) ","at PHI","2 out of 5 stars","C","6.5"
"31","Cam Akers (LAR) ","at SF","2 out of 5 stars","C","6.5"
"32","D'Andre Swift (DET) ","at JAC","5 out of 5 stars","C","6.5"
"33","Jerick McKinnon (SF) ","vs. LAR","4 out of 5 stars","C","6.3"
"34","Rex Burkhead (NE) ","vs. DEN","1 out of 5 stars","C-","6.2"
"35","James White (NE) ","vs. DEN","1 out of 5 stars","C-","6.1"
"36","Phillip Lindsay (DEN) ","at NE","1 out of 5 stars","C-","5.8"
"37","Gus Edwards (BAL) ","at PHI","2 out of 5 stars","C-","5.6"
"38","Nyheim Hines (IND) ","vs. CIN","3 out of 5 stars","C-","5.6"
"39","Zack Moss (BUF) ","vs. KC","3 out of 5 stars","D+","5.4"
"40","J.D. McKissic (WAS) ","at NYG","4 out of 5 stars","D+","5.4"
"41","Brian Hill (ATL) ","at MIN","3 out of 5 stars","D","5.4"
"42","Duke Johnson Jr. (HOU) ","at TEN","5 out of 5 stars","D+","5.4"
"43","Frank Gore (NYJ) ","at MIA","5 out of 5 stars","C-","5.2"
"44","Leonard Fournette (TB) ","vs. GB","5 out of 5 stars","D","5.0"
"45","D'Ernest Johnson (CLE) ","at PIT","2 out of 5 stars","D","4.8"
"46","Tony Pollard (DAL) ","vs. ARI","3 out of 5 stars","D-","4.8"
"47","Jamaal Williams (GB) ","at TB","1 out of 5 stars","D-","4.7"
"48","Mike Boone (MIN) ","vs. ATL","3 out of 5 stars","D-","4.6"
"49","Darrel Williams (KC) ","at BUF","4 out of 5 stars","F","4.5"
"50","Wayne Gallman (NYG) ","vs. WAS","3 out of 5 stars","F","3.9"
