"RK","PLAYER NAME","OPP","MATCHUP (?)","START/SIT","PROJ. FPTS"
"1","Travis Kelce (KC) ","at BUF","5 out of 5 stars","A+","11.4"
"2","George Kittle (SF) ","vs. LAR","3 out of 5 stars","A","9.7"
"3","Mark Andrews (BAL) ","at PHI","5 out of 5 stars","A-","9.0"
"4","Jonnu Smith (TEN) ","vs. HOU","3 out of 5 stars","B+","8.6"
"5","Zach Ertz (PHI) ","vs. BAL","3 out of 5 stars","B","7.0"
"6","Evan Engram (NYG) ","vs. WAS","4 out of 5 stars","B-","6.5"
"7","T.J. Hockenson (DET) ","at JAC","4 out of 5 stars","C+","6.5"
"8","Robert Tonyan (GB) ","at TB","3 out of 5 stars","C","6.1"
"9","Mike Gesicki (MIA) ","vs. NYJ","3 out of 5 stars","C","6.4"
"10","Eric Ebron (PIT) ","vs. CLE","5 out of 5 stars","C","6.1"
"11","Dalton Schultz (DAL) ","vs. ARI","5 out of 5 stars","C","5.7"
"12","Hayden Hurst (ATL) ","at MIN","2 out of 5 stars","C-","5.6"
"13","Austin Hooper (CLE) ","at PIT","1 out of 5 stars","D+","5.4"
"14","Tyler Higbee (LAR) ","at SF","1 out of 5 stars","C-","5.2"
"15","Jimmy Graham (CHI) ","at CAR","1 out of 5 stars","C-","5.1"
"16","Rob Gronkowski (TB) ","vs. GB","1 out of 5 stars","D+","5.0"
"17","Logan Thomas (WAS) ","at NYG","1 out of 5 stars","D","4.8"
"18","Irv Smith Jr. (MIN) ","vs. ATL","5 out of 5 stars","D","4.5"
"19","Trey Burton (IND) ","vs. CIN","2 out of 5 stars","D","4.5"
"20","Drew Sample (CIN) ","at IND","1 out of 5 stars","D","4.2"
"21","Tyler Eifert (JAC) ","vs. DET","1 out of 5 stars","D-","3.8"
"22","Gerald Everett (LAR) ","at SF","1 out of 5 stars","F","3.8"
"23","Jordan Akins (HOU) ","at TEN","5 out of 5 stars","F","3.7"
"24","Kyle Rudolph (MIN) ","vs. ATL","5 out of 5 stars","F","3.6"
"25","Darren Fells (HOU) ","at TEN","5 out of 5 stars","F","3.4"
"26","Ian Thomas (CAR) ","vs. CHI","5 out of 5 stars","F","3.3"
"27","Chris Herndon IV (NYJ) ","at MIA","2 out of 5 stars","F","3.2"
"28","Mo Alie-Cox (IND) ","vs. CIN","2 out of 5 stars","F","3.1"
"29","Cameron Brate (TB) ","vs. GB","1 out of 5 stars","F","3.1"
"30","Dawson Knox (BUF) ","vs. KC","2 out of 5 stars","F","3.0"
"31","Dan Arnold (ARI) ","at DAL","5 out of 5 stars","F","2.8"
"32","Jack Doyle (IND) ","vs. CIN","2 out of 5 stars","F","2.8"
"33","Noah Fant (DEN) ","at NE","1 out of 5 stars","F","2.7"
"34","Nick Boyle (BAL) ","at PHI","5 out of 5 stars","F","2.7"
"35","James O'Shaughnessy (JAC) ","vs. DET","1 out of 5 stars","F","2.6"
"36","Anthony Firkser (TEN) ","vs. HOU","3 out of 5 stars","F","2.6"
"37","David Njoku (CLE) ","at PIT","1 out of 5 stars","F","2.4"
"38","Tanner Hudson (TB) ","vs. GB","1 out of 5 stars","F","2.2"
"39","Vance McDonald (PIT) ","vs. CLE","5 out of 5 stars","F","2.1"
"40","Ryan Griffin (NYJ) ","at MIA","2 out of 5 stars","F","2.0"
"41","Tyler Kroft (BUF) ","vs. KC","2 out of 5 stars","F","2.0"
"42","Richard Rodgers (PHI) ","vs. BAL","3 out of 5 stars","F","1.9"
"43","Ryan Izzo (NE) ","vs. DEN","4 out of 5 stars","F","1.9"
"44","Jesse James (DET) ","at JAC","4 out of 5 stars","F","1.9"
"45","Harrison Bryant (CLE) ","at PIT","1 out of 5 stars","F","1.8"
"46","Kaden Smith (NYG) ","vs. WAS","4 out of 5 stars","F","1.7"
"47","Jace Sternberger (GB) ","at TB","3 out of 5 stars","F","1.6"
"48","Darrell Daniels (ARI) ","at DAL","5 out of 5 stars","F","1.6"
"49","Demetrius Harris (CHI) ","at CAR","1 out of 5 stars","F","1.6"
"50","Jake Butt (DEN) ","at NE","1 out of 5 stars","F","1.5"
"51","Nick Vannett (DEN) ","at NE","1 out of 5 stars","F","1.4"
"52","Adam Shaheen (MIA) ","vs. NYJ","3 out of 5 stars","F","1.4"
