"RK","PLAYER NAME","OPP","MATCHUP (?)","START/SIT","PROJ. FPTS"
"1","DeAndre Hopkins (ARI) ","at DAL","5 out of 5 stars","A+","13.2"
"2","Tyreek Hill (KC) ","at BUF","3 out of 5 stars","A+","13.0"
"3","Adam Thielen (MIN) ","vs. ATL","4 out of 5 stars","A+","12.7"
"4","Calvin Ridley (ATL) ","at MIN","5 out of 5 stars","A+","12.3"
"5","Stefon Diggs (BUF) ","vs. KC","3 out of 5 stars","A+","11.9"
"6","Davante Adams (GB) ","at TB","4 out of 5 stars","A","11.5"
"7","Allen Robinson II (CHI) ","at CAR","1 out of 5 stars","A","11.0"
"8","Mike Evans (TB) ","vs. GB","2 out of 5 stars","A","10.8"
"9","Kenny Golladay (DET) ","at JAC","4 out of 5 stars","A","10.3"
"10","Amari Cooper (DAL) ","vs. ARI","2 out of 5 stars","A","10.1"
"11","Terry McLaurin (WAS) ","at NYG","3 out of 5 stars","A","10.1"
"12","Cooper Kupp (LAR) ","at SF","3 out of 5 stars","A","9.9"
"13","Will Fuller V (HOU) ","at TEN","4 out of 5 stars","A","9.7"
"14","A.J. Brown (TEN) ","vs. HOU","4 out of 5 stars","A","9.7"
"15","Marquise Brown (BAL) ","at PHI","5 out of 5 stars","A","9.6"
"16","Robert Woods (LAR) ","at SF","3 out of 5 stars","A","9.6"
"17","Robby Anderson (CAR) ","vs. CHI","1 out of 5 stars","A-","9.3"
"18","CeeDee Lamb (DAL) ","vs. ARI","2 out of 5 stars","A-","9.3"
"19","Odell Beckham Jr. (CLE) ","at PIT","5 out of 5 stars","A-","9.3"
"20","DeVante Parker (MIA) ","vs. NYJ","5 out of 5 stars","A-","9.0"
"21","D.J. Moore (CAR) ","vs. CHI","1 out of 5 stars","B+","9.0"
"22","Justin Jefferson (MIN) ","vs. ATL","4 out of 5 stars","B","8.9"
"23","JuJu Smith-Schuster (PIT) ","vs. CLE","5 out of 5 stars","B+","8.7"
"24","Darius Slayton (NYG) ","vs. WAS","2 out of 5 stars","B","8.7"
"25","Tyler Boyd (CIN) ","at IND","2 out of 5 stars","B","8.5"
"26","Mecole Hardman (KC) ","at BUF","3 out of 5 stars","B-","8.4"
"27","Michael Gallup (DAL) ","vs. ARI","2 out of 5 stars","B-","8.4"
"28","Laviska Shenault Jr. (JAC) ","vs. DET","5 out of 5 stars","B-","8.0"
"29","Jamison Crowder (NYJ) ","at MIA","3 out of 5 stars","B","8.0"
"30","Chase Claypool (PIT) ","vs. CLE","5 out of 5 stars","C+","7.9"
